seed,method,tau_low,tau_high,theta,scorer,conformal_target_recall,coreset_budget,safety_recall,storage_savings_pct,duplicate_pairs,samples_removed,n_test,level0_count,level1_count,level2_count,level3_count
42,path_b,0.15,0.15,0.85,isolation_forest,0.99,off,0.986404833836858,6.039265898420828,192419,283,4686,4395,3726,854,133
42,path_b,0.15,0.15,0.85,autoencoder,0.9,off,0.9607250755287009,11.715749039692703,192419,549,4686,4012,3726,854,133
42,path_b,0.15,0.15,0.85,autoencoder,0.95,off,0.9788519637462235,7.533077251387111,192419,353,4686,4262,3726,854,133
42,path_b,0.15,0.15,0.85,autoencoder,0.99,off,0.9962235649546828,2.1980367050789584,192419,103,4686,4571,3726,854,133
42,path_b,0.15,0.15,0.85,ecod,0.9,off,0.952416918429003,17.370892018779344,192419,814,4686,3741,3726,854,133
42,path_b,0.15,0.15,0.85,ecod,0.95,off,0.9758308157099698,8.792146820315834,192419,412,4686,4205,3726,854,133
42,path_b,0.15,0.15,0.85,ecod,0.99,off,0.9969788519637462,1.856594110115237,192419,87,4686,4581,3726,854,133
42,path_b,0.15,0.5,0.85,off,off,off,0.3632930513595166,79.47076397780623,192418,3724,4686,0,3726,98,133
42,path_b,0.15,0.5,0.85,bnn_mean,0.9,off,0.8904833836858006,53.371745625266755,192418,2501,4686,2014,3726,98,133
42,path_b,0.15,0.5,0.85,bnn_mean,0.95,off,0.9335347432024169,42.63764404609475,192418,1998,4686,2642,3726,98,133
42,path_b,0.15,0.5,0.85,bnn_mean,0.99,off,0.9894259818731118,24.349125053350406,192418,1141,4686,3544,3726,98,133
42,path_b,0.15,0.5,0.85,bnn_variance,0.9,off,0.879154078549849,22.385830132309007,192418,1049,4686,3636,3726,98,133
42,path_b,0.15,0.5,0.85,bnn_variance,0.95,off,0.9305135951661632,17.26419120785318,192418,809,4686,3876,3726,98,133
42,path_b,0.15,0.5,0.85,bnn_variance,0.99,off,0.9803625377643505,11.37430644472898,192418,533,4686,4152,3726,98,133
42,path_b,0.15,0.5,0.85,bnn_combined,0.9,off,0.8882175226586103,52.00597524541186,192418,2437,4686,2179,3726,98,133
42,path_b,0.15,0.5,0.85,bnn_combined,0.95,off,0.9342900302114804,41.97609901835254,192418,1967,4686,2698,3726,98,133
42,path_b,0.15,0.5,0.85,bnn_combined,0.99,off,0.9901812688821753,22.91933418693982,192418,1074,4686,3611,3726,98,133
42,path_b,0.15,0.5,0.85,isolation_forest,0.9,off,0.9033232628398792,26.76056338028169,192418,1254,4686,3319,3726,98,133
42,path_b,0.15,0.5,0.85,isolation_forest,0.95,off,0.9509063444108762,15.983781476739223,192418,749,4686,3891,3726,98,133
42,path_b,0.15,0.5,0.85,isolation_forest,0.99,off,0.986404833836858,6.039265898420828,192418,283,4686,4395,3726,98,133
42,path_b,0.15,0.5,0.85,autoencoder,0.9,off,0.9607250755287009,11.715749039692703,192418,549,4686,4012,3726,98,133
42,path_b,0.15,0.5,0.85,autoencoder,0.95,off,0.9788519637462235,7.533077251387111,192418,353,4686,4262,3726,98,133
42,path_b,0.15,0.5,0.85,autoencoder,0.99,off,0.9962235649546828,2.1980367050789584,192418,103,4686,4571,3726,98,133
42,path_b,0.15,0.5,0.85,ecod,0.9,off,0.952416918429003,17.370892018779344,192418,814,4686,3741,3726,98,133
42,path_b,0.15,0.5,0.85,ecod,0.95,off,0.9758308157099698,8.792146820315834,192418,412,4686,4205,3726,98,133
42,path_b,0.15,0.5,0.85,ecod,0.99,off,0.9969788519637462,1.856594110115237,192418,87,4686,4581,3726,98,133
42,path_b,0.2,0.5,0.85,off,off,off,0.29154078549848944,85.12590695689288,206020,3989,4686,0,3991,98,133
42,path_b,0.2,0.5,0.85,bnn_mean,0.9,off,0.8799093655589124,55.56978233034571,206020,2604,4686,2014,3991,98,133
42,path_b,0.2,0.5,0.85,bnn_mean,0.95,off,0.9297583081570997,43.363209560392654,206020,2032,4686,2642,3991,98,133
42,path_b,0.2,0.5,0.85,bnn_mean,0.99,off,0.9894259818731118,24.349125053350406,206020,1141,4686,3544,3991,98,133
42,path_b,0.2,0.5,0.85,bnn_variance,0.9,off,0.879154078549849,22.385830132309007,206020,1049,4686,3636,3991,98,133
42,path_b,0.2,0.5,0.85,bnn_variance,0.95,off,0.9305135951661632,17.26419120785318,206020,809,4686,3876,3991,98,133
42,path_b,0.2,0.5,0.85,bnn_variance,0.99,off,0.9803625377643505,11.37430644472898,206020,533,4686,4152,3991,98,133
42,path_b,0.2,0.5,0.85,bnn_combined,0.9,off,0.8821752265861027,53.13700384122919,206020,2490,4686,2179,3991,98,133
